aX,aY,aZ,gX,gY,gZ
0.59,0.52,0.61,0.49,0.53,0.51
0.61,0.52,0.62,0.50,0.52,0.50
0.63,0.52,0.63,0.50,0.51,0.49
0.66,0.50,0.65,0.51,0.50,0.48
0.68,0.50,0.65,0.51,0.50,0.48
0.68,0.50,0.65,0.52,0.50,0.47
0.69,0.49,0.66,0.53,0.50,0.46
0.69,0.47,0.66,0.54,0.50,0.44
0.67,0.46,0.65,0.55,0.49,0.41
0.64,0.44,0.63,0.55,0.49,0.40
0.64,0.44,0.63,0.55,0.49,0.40
0.60,0.43,0.61,0.56,0.50,0.38
0.57,0.42,0.60,0.57,0.50,0.37
0.54,0.41,0.58,0.57,0.51,0.36
0.52,0.41,0.57,0.57,0.51,0.36
0.50,0.41,0.55,0.57,0.52,0.36
0.50,0.41,0.55,0.57,0.52,0.36
0.48,0.41,0.53,0.58,0.53,0.36
0.46,0.42,0.52,0.58,0.54,0.36
0.44,0.42,0.50,0.58,0.54,0.36
0.41,0.42,0.50,0.57,0.53,0.36
0.39,0.42,0.49,0.57,0.52,0.36
0.39,0.42,0.49,0.57,0.52,0.36
0.37,0.43,0.49,0.56,0.51,0.37
0.35,0.44,0.49,0.56,0.50,0.38
0.33,0.45,0.50,0.55,0.49,0.39
0.32,0.47,0.50,0.54,0.49,0.40
0.31,0.47,0.50,0.54,0.49,0.42
0.31,0.47,0.50,0.54,0.49,0.42
0.30,0.48,0.49,0.53,0.49,0.43
0.29,0.48,0.49,0.53,0.50,0.45
0.29,0.49,0.48,0.52,0.50,0.47
0.29,0.49,0.47,0.52,0.49,0.49
0.31,0.49,0.47,0.51,0.49,0.51
0.31,0.49,0.47,0.51,0.49,0.51
0.33,0.48,0.47,0.50,0.49,0.52
0.35,0.48,0.48,0.49,0.48,0.53
0.38,0.48,0.49,0.48,0.48,0.55
0.40,0.48,0.50,0.48,0.48,0.55
0.42,0.48,0.51,0.47,0.48,0.56
0.42,0.48,0.51,0.47,0.48,0.56
0.44,0.48,0.53,0.47,0.48,0.56
